question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
11,Computer Science,Compiler Design,mcq,Consider the following statements regarding the front-end and back-end of a compiler. S1: The front-end includes phases that are independent of the target hardware. S2: The back-end includes phases that are speciﬁc to the target hardware. S3: The back-end includes phases that are speciﬁc to the programming language used in the source code. Identify the CORRECT option.,Only S1 is TRUE.,Only S1 and S2 are TRUE.,"S1, S2, and S3 are all TRUE.",Only S1 and S3 are TRUE.,B,,,Medium,2023,1,PYQ;GATE 2023,,,,
12,Computer Science,Programming and Data Structures,mcq,"Which one of the following sequences when stored in an array at locations A[1], . . . , A[10] forms a max-heap?","23, 17, 10, 6, 13, 14, 1, 5, 7, 12","23, 17, 14, 7, 13, 10, 1, 5, 6, 12","23, 17, 14, 6, 13, 10, 1, 5, 7, 15","23, 14, 17, 1, 10, 13, 16, 12, 7, 5",B,,,Easy,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence
13,Computer Science,Programming and Data Structures,mcq,"Let SLLdel be a function that deletes a node in a singly-linked list given a pointer to the node and a pointer to the head of the list. Similarly, let DLLdel be another function that deletes a node in a doubly-linked list given a pointer to the node and a pointer to the head of the list. Let n denote the number of nodes in each of the linked lists. Which one of the following choices is TRUE about the worst-case time complexity of SLLdel and DLLdel?",SLLdel is O(1) and DLLdel is O(n),Both SLLdel and DLLdel are O(log(n)),Both SLLdel and DLLdel are O(1),SLLdel is O(n) and DLLdel is O(1),D,,,Easy,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence
14,Computer Science,Theory of Computation,mcq,"Consider the Deterministic Finite-state Automaton (DFA) A shown below. The DFA runs on the alphabet {0, 1}, and has the set of states {s, p, q, r}, with s being the start state and p being the only ﬁnal state. 0 1 s 1 p q 1 0 r 0 0,1 Which one of the following regular expressions correctly describes the language accepted by A?",1(0∗ 11)∗,0(0 + 1)∗,1(0 + 11)∗,1(110∗ )∗,C,,,Medium,2023,1,PYQ;GATE 2023,,,,
15,Computer Science,Engineering Mathematics,mcq,"The Lucas sequence Ln is deﬁned by the recurrence relation: Ln = Ln−1 + Ln−2 , for n ≥ 3, with L1 = 1 and L2 = 3. Which one of the options given is TRUE?",,,, √ n  √ n 1+ 5 1− 5 + 2 2  √ n  √ n 1+ 5 1− 5 − 2 3  √ n  √ n 1+ 5 1− 5 + 2 3  √ n  √ n 1+ 5 1− 5 − 2 2 Ln = Ln = Ln = Ln =,A,,,Medium,2023,1,PYQ;GATE 2023,,,yes,garbled_math_symbols;topic_low_confidence
16,Computer Science,Databases,mcq,Which one of the options given below refers to the degree (or arity) of a relation in relational database systems?,Number of attributes of its relation schema.,Number of tuples stored in the relation.,Number of entries in the relation.,Number of distinct domains of its relation schema.,A,,,Easy,2023,1,PYQ;GATE 2023,,,,
17,Computer Science,Computer Networks,mcq,"Suppose two hosts are connected by a point-to-point link and they are conﬁgured to use Stop-and-Wait protocol for reliable data transfer. Identify in which one of the following scenarios, the utilization of the link is the lowest.",Longer link length and lower transmission rate,Longer link length and higher transmission rate,Shorter link length and lower transmission rate,Shorter link length and higher transmission rate,B,,,Easy,2023,1,PYQ;GATE 2023,,,,
18,Computer Science,Engineering Mathematics,mcq,"Let ⎡ 1 ⎢4 A=⎢ ⎣3 2 and ⎡ 3 ⎢4 B=⎢ ⎣1 2 2 1 4 3 3 2 1 4 ⎤ 4 3⎥ ⎥ 2⎦ 1 4 1 2 3 1 2 3 4 ⎤ 2 3⎥ ⎥. 4⎦ 1 Let det(A) and det(B) denote the determinants of the matrices A and B, respectively. Which one of the options given below is TRUE?",det(A) = det(B),det(B) = −det(A),det(A) = 0,det(AB) = det(A) + det(B),B,,,Easy,2023,1,PYQ;GATE 2023,,,yes,possible_flattened_table
19,Computer Science,Compiler Design,mcq,"Consider the following deﬁnition of a lexical token id for an identiﬁer in a programming language, using extended regular expressions: letter digit id → → → [A-Za-z] [0-9] letter (letter | digit)∗ Which one of the following Non-deterministic Finite-state Automata with transitions accepts the set of valid identiﬁers? (A double-circle denotes a ﬁnal state) letter",letter digit  letter  letter ,digit  letter   letter ,digit   letter letter digit,,C,,,Medium,2023,1,PYQ;GATE 2023,,,yes,garbled_math_symbols;topic_low_confidence
20,Computer Science,Algorithms,mcq,"An algorithm has to store several keys generated by an adversary in a hash table. The adversary is malicious who tries to maximize the number of collisions. Let k be the number of keys, m be the number of slots in the hash table, and k > m. Which one of the following is the best hashing strategy to counteract the adversary?","Division method, i.e., use the hash function h(k) = k mod m.","Multiplication method, i.e., use the hash function h(k) = m(kA − kA), where A is a carefully chosen constant.",Universal hashing method.,"If k is a prime number, use Division method. Otherwise, use Multiplication method.",C,,,Easy,2023,1,PYQ;GATE 2023,,,yes,garbled_math_symbols
21,Computer Science,Digital Logic,mcq,The output of a 2-input multiplexer is connected back to one of its inputs as shown in the ﬁgure. Multiplexer 0 Q 1 S Match the functional equivalence of this circuit to one of the following options.,D Flip-ﬂop,D Latch,Half-adder,Demultiplexer,B,,,Easy,2023,1,PYQ;GATE 2023,,,,
22,Computer Science,Operating System,msq,Which one or more of the following need to be saved on a context switch from one thread (T1) of a process to another thread (T2) of the same process?,Page table base register,Stack pointer,Program counter,General purpose registers,"B,C,D",,,Medium,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
23,Computer Science,Operating System,msq,Which one or more of the following options guarantee that a computer system will transition from user mode to kernel mode?,Function Call,malloc Call,Page Fault,System Call,"C,D",,,Medium,2023,1,PYQ;GATE 2023,,,,type_corrected_from_mcq
24,Computer Science,Theory of Computation,msq,Which of the following statements is/are CORRECT?,The intersection of two regular languages is regular.,The intersection of two context-free languages is context-free.,The intersection of two recursive languages is recursive.,The intersection of two recursively enumerable languages is recursively enumerable.,"A,C,D",,,Medium,2023,1,PYQ;GATE 2023,,,,type_corrected_from_mcq
25,Computer Science,Computer Networks,msq,Which of the following statements is/are INCORRECT about the OSPF (Open Shortest Path First) routing protocol used in the Internet?,OSPF implements Bellman-Ford algorithm to ﬁnd shortest paths.,OSPF uses Dijkstra’s shortest path algorithm to implement least-cost path routing.,OSPF is used as an inter-domain routing protocol.,OSPF implements hierarchical routing.,"A,C",,,Medium,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
26,Computer Science,Engineering Mathematics,msq,"Geetha has a conjecture about integers, which is of the form ∀x P (x) =⇒ ∃yQ(x, y) , where P is a statement about integers, and Q is a statement about pairs of integers. Which of the following (one or more) option(s) would imply Geetha’s conjecture?","∃x P (x) ∧ ∀yQ(x, y)","∀x∀yQ(x, y)","∃y∀x P (x) =⇒ Q(x, y)","∃x P (x) ∧ ∃yQ(x, y)","B,C",,,Medium,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
27,Computer Science,Operating System,msq,Which one or more of the following CPU scheduling algorithms can potentially cause starvation?,First-in First-Out,Round Robin,Priority Scheduling,Shortest Job First,"A,C,D or C,D",,,Medium,2023,1,PYQ;GATE 2023,,,yes,official_key_ambiguous_msq_answer;type_corrected_from_mcq
28,Computer Science,Engineering Mathematics,msq,Let f (x) = x3 + 15x2 − 33x − 36 be a real-valued function. Which of the following statements is/are TRUE?,f (x) does not have a local maximum.,f (x) has a local maximum.,f (x) does not have a local minimum.,f (x) has a local minimum.,"B,D",,,Medium,2023,1,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
29,Computer Science,Algorithms,msq,Let f and g be functions of natural numbers given by f (n) = n and g(n) = n2 . Which of the following statements is/are TRUE?,f ∈ O(g),f ∈ Ω(g),f ∈ o(g),f ∈ Θ(g),"A,C",,,Medium,2023,1,PYQ;GATE 2023,,,,type_corrected_from_mcq
30,Computer Science,Engineering Mathematics,nat,"Let A be the adjacency matrix of the graph with vertices {1, 2, 3, 4, 5}. 3 2 5 1 4 Let λ1 , λ2 , λ3 , λ4 , and λ5 be the ﬁve eigenvalues of A. Note that these eigenvalues need not be distinct. The value of λ1 + λ2 + λ3 + λ4 + λ5 =",,,,,,2.0,0.0,Medium,2023,1,PYQ;GATE 2023,,,yes,official_key_dual_accepted_nat_answer
31,Computer Science,Engineering Mathematics,nat,The value of the deﬁnite integral is 3 2 1 −3 −2 −1  4x2 y − z 3 dz dy dx . (Rounded oﬀ to the nearest integer),,,,,,0.0,0.0,Medium,2023,1,PYQ;GATE 2023,,,yes,garbled_math_symbols
32,Computer Science,Digital Logic,nat,A particular number is written as 132 in radix-4 representation. The same number in radix-5 representation is,,,,,,110.0,0.0,Medium,2023,1,PYQ;GATE 2023,,,,
33,Computer Science,Computer Organization and Architecture,nat,"Consider a 3-stage pipelined processor having a delay of 10 ns (nanoseconds), 20 ns, and 14 ns, for the ﬁrst, second, and the third stages, respectively. Assume that there is no other delay and the processor does not suﬀer from any pipeline hazards. Also assume that one instruction is fetched every cycle. The total execution time for executing 100 instructions on this processor is ns.",,,,,,2040.0,0.0,Medium,2023,1,PYQ;GATE 2023,,,,
34,Computer Science,Computer Organization and Architecture,nat,"A keyboard connected to a computer is used at a rate of 1 keystroke per second. The computer system polls the keyboard every 10 ms (milli seconds) to check for a keystroke and consumes 100 μs (micro seconds) for each poll. If it is determined after polling that a key has been pressed, the system consumes an additional 200 μs to process the keystroke. Let T1 denote the fraction of a second spent in polling and processing a keystroke. In an alternative implementation, the system uses interrupts instead of polling. An interrupt is raised for every keystroke. It takes a total of 1 ms for servicing an interrupt and processing a keystroke. Let T2 denote the fraction of a second spent in servicing the interrupt and processing a keystroke. The ratio T1 is T2 . (Rounded oﬀ to one decimal place)",,,,,,10.2,0.0,Medium,2023,1,PYQ;GATE 2023,,,,
35,Computer Science,Programming and Data Structures,nat,"The integer value printed by the ANSI-C program given below is #include<stdio.h> int funcp(){ static int x = 1; x++; return x; } int main(){ int x,y; x = funcp(); y = funcp()+x; printf(""%d\n"", (x+y)); return 0; }",,,,,,7.0,0.0,Medium,2023,1,PYQ;GATE 2023,,,,
36,Computer Science,Programming and Data Structures,mcq,Consider the following program: int main() int f1() { { f1(); return(1); f2(2); } f3(); return(0); } int f2(int X) int f3() { { f3(); return(5); if (X==1) } return f1(); else return (X*f2(X-1)); } Which one of the following options represents the activation tree corresponding to the main function? main f1 f2 f3 f3 f2,f3 f1 main f1 f2 f3,f3 f1 main f1,f2 f3 f1 main f1 f2 f3,f3 f2 f1,A,,,Medium,2023,2,PYQ;GATE 2023,,,,
37,Computer Science,Compiler Design,mcq,Consider the control ﬂow graph shown. ENTRY B1 i = m − 1 j = n a = 10 B2 i = i + 1 j = j − 1 B3 a = 20 B4 i = a + 1 EXIT Which one of the following choices correctly lists the set of live variables at the exit point of each basic block?,"B1: {}, B2: {a}, B3: {a}, B4: {a}","B1: {i, j}, B2: {a}, B3: {a}, B4: {i}","B1: {a, i, j}, B2: {a, i, j}, B3: {a, i}, B4: {a}","B1: {a, i, j}, B2: {a, j}, B3: {a, j}, B4: {a, i, j}",D,,,Medium,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence
38,Computer Science,Operating System,mcq,"Consider the two functions incr and decr shown below. incr(){ decr(){ wait(s); wait(s); X = X+1; X = X-1; signal(s); signal(s); } } There are 5 threads each invoking incr once, and 3 threads each invoking decr once, on the same shared variable X. The initial value of X is 10. Suppose there are two implementations of the semaphore s, as follows: I-1: s is a binary semaphore initialized to 1. I-2: s is a counting semaphore initialized to 2. Let V1, V2 be the values of X at the end of execution of all the threads with implementations I-1, I-2, respectively. Which one of the following choices corresponds to the minimum possible values of V1, V2, respectively?","15, 7","7, 7","12, 7","12, 8",C,,,Medium,2023,2,PYQ;GATE 2023,,,,
39,Computer Science,Theory of Computation,mcq,"Consider the context-free grammar G below S → aSb | X X → aX | Xb | a | b , where S and X are non-terminals, and a and b are terminal symbols. The starting non-terminal is S. Which one of the following statements is CORRECT?",The language generated by G is (a + b)∗,The language generated by G is a∗ (a + b)b∗,The language generated by G is a∗ b∗ (a + b),The language generated by G is not a regular language,B,,,Medium,2023,2,PYQ;GATE 2023,,,,
40,Computer Science,Theory of Computation,mcq,"Consider the pushdown automaton (PDA) P below, which runs on the input alphabet {a, b}, has stack alphabet {⊥, A}, and has three states {s, p, q}, with s being the start state. A transition from state u to state v, labelled c/X/γ, where c is an input symbol or , X is a stack symbol, and γ is a string of stack symbols, represents the fact that in state u, the PDA can read c from the input, with X on the top of its stack, pop X from the stack, push in the string γ on the stack, and go to state v. In the initial conﬁguration, the stack has only the symbol ⊥ in it. The PDA accepts by empty stack. a/⊥/A⊥ a/A/AA s b/A/ b/A/ /A/ p /A/ q /A/ /⊥/ Which one of the following options correctly describes the language accepted by P ?",{am bn | 1 ≤ m and n < m},{am bn | 0 ≤ n ≤ m},{am bn | 0 ≤ m and 0 ≤ n},{am | 0 ≤ m} ∪ {bn | 0 ≤ n},A,,,Hard,2023,2,PYQ;GATE 2023,,,yes,garbled_math_symbols;topic_low_confidence
41,Computer Science,Computer Organization and Architecture,mcq,"Consider the given C-code and its corresponding assembly code, with a few operands U1–U4 being unknown. Some useful information as well as the semantics of each unique assembly instruction is annotated as inline comments in the code. The memory is byte-addressable. //C-code ;assembly-code (; indicates comments) ;r1-r5 are 32-bit integer registers ;initialize r1=0, r2=10 ;initialize r3, r4 with base address of a, b L01: jeq r1, r2, end ;if(r1==r2) goto end L02: lw r5, 0(r4) ;r5 <- Memory[r4+0] L03: shl r5, r5, U1 ;r5 <- r5 << U1 L04: sw r5, 0(r3) ;Memory[r3+0] <- r5 L05: add r3, r3, U2 ;r3 <- r3+U2 L06: add r4, r4, U3 L07: add r1, r1, 1 L08: jmp U4 ;goto U4 L09: end Which one of the following options is a CORRECT replacement for operands in the position (U1, U2, U3, U4) in the above assembly code? int a[10], b[10], i; // int is 32-bit for (i=0; i<10;i++) a[i] = b[i] * 8;","(8, 4, 1, L02)","(3, 4, 4, L01)","(8, 1, 1, L02)","(3, 1, 1, L01)",B,,,Hard,2023,2,PYQ;GATE 2023,,,,
42,Computer Science,Computer Organization and Architecture,mcq,"A 4 kilobyte (KB) byte-addressable memory is realized using four 1 KB memory blocks. Two input address lines (IA4 and IA3) are connected to the chip select (CS) port of these memory blocks through a decoder as shown in the ﬁgure. The remaining ten input address lines from IA11–IA0 are connected to the address port of these blocks. The chip select (CS) is active high. IA11 MSB IA10 IA9 IA8 IA7 IA6 IA5 IA2 IA1 IA0 LSB 10-bit Decoder IA4 IA3 A1 A0 1KB memory 1KB memory 1KB memory 1KB memory Addr Addr Addr Addr X1 X2 X3 X4 Q0 Q1 Q2 Q3 The input memory addresses (IA11–IA0), in decimal, for the starting locations (Addr=0) of each block (indicated as X1, X2, X3, X4 in the ﬁgure) are among the options given below. Which one of the following options is CORRECT?","(0, 1, 2, 3)","(0, 1024, 2048, 3072)","(0, 8, 16, 24)","(0, 0, 0, 0)",C,,,Medium,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence
43,Computer Science,Digital Logic,mcq,"Consider a sequential digital circuit consisting of T ﬂip-ﬂops and D ﬂip-ﬂops as shown in the ﬁgure. CLKIN is the clock input to the circuit. At the beginning, Q1, Q2 and Q3 have values 0, 1 and 1, respectively. T D Q CLKIN CLK T Q Q1 CLK Q Q2 Q3 CLK Which one of the given values of (Q1, Q2, Q3) can NEVER be obtained with this digital circuit?","(0, 0, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 1)",A,,,Medium,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence
44,Computer Science,Digital Logic,mcq,"A Boolean digital circuit is composed using two 4-input multiplexers (M1 and M2) and one 2-input multiplexer (M3) as shown in the ﬁgure. X0–X7 are the inputs of the multiplexers M1 and M2 and could be connected to either 0 or 1. The select lines of the multiplexers are connected to Boolean variables A, B and C as shown. X0 Multiplexer 0 X1 1 X2 2 X3 A C 3 S1 S0 X4 M1 Q M3 Q Multiplexer 0 1 S M2 X5 1 X6 2 X7 3 S1 S0 A C Multiplexer 0 Q B Which one of the following set of values of (X0, X1, X2, X3, X4, X5, X6, X7) will realise the Boolean function A + A.C + A.B.C?","(1, 1, 0, 0, 1, 1, 1, 0)","(1, 1, 0, 0, 1, 1, 0, 1)","(1, 1, 0, 1, 1, 1, 0, 0)","(0, 0, 1, 1, 0, 1, 1, 1)",C,,,Medium,2023,2,PYQ;GATE 2023,,,,
45,Computer Science,Digital Logic,mcq,"Consider the IEEE-754 single precision ﬂoating point numbers P=0xC1800000 and Q=0x3F5C2EF4. Which one of the following corresponds to the product of these numbers (i.e., P × Q), represented in the IEEE-754 single precision format?",0x404C2EF4,0x405C2EF4,0xC15C2EF4,0xC14C2EF4,C,,,Medium,2023,2,PYQ;GATE 2023,,,,
46,Computer Science,Algorithms,mcq,"Let A be a priority queue for maintaining a set of elements. Suppose A is implemented using a max-heap data structure. The operation Extract-Max(A) extracts and deletes the maximum element from A. The operation Insert(A,key) inserts a new element key in A. The properties of a max-heap are preserved at the end of each of these operations. When A contains n elements, which one of the following statements about the worst case running time of these two operations is TRUE?","Both Extract-Max(A) and Insert(A,key) run in O(1).","Both Extract-Max(A) and Insert(A,key) run in O(log(n)).","Extract-Max(A) runs in O(1) whereas Insert(A,key) runs in O(n).","Extract-Max(A) runs in O(1) whereas Insert(A,key) runs in O(log(n)).",B,,,Medium,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence
47,Computer Science,Programming and Data Structures,mcq,"Consider the C function foo and the binary tree shown. typedef struct node { int val; struct node *left, *right; } node; 10 5 int foo(node *p) { 3 int retval; if (p == NULL) return 0; else { retval = p->val + foo(p->left) + foo(p->right); printf(""%d "", retval); return retval; } } 11 8 13 When foo is called with a pointer to the root node of the given binary tree, what will it print?",3 8 5 13 11 10,3 5 8 10 11 13,3 8 16 13 24 50,3 16 8 50 24 13,C,,,Easy,2023,2,PYQ;GATE 2023,,,,
48,Computer Science,Engineering Mathematics,mcq,"Let U = {1, 2, . . . , n}, where n is a large positive integer greater than 1000. Let k be a positive integer less than n. Let A, B be subsets of U with |A| = |B| = k and A ∩ B = ∅. We say that a permutation of U separates A from B if one of the following is true. - All members of A appear in the permutation before any of the members of B. - All members of B appear in the permutation before any of the members of A. How many permutations of U separate A from B?",n!  n 2k,,n 2k , (n − 2k)!  n 2 2k (n − 2k)! (k!)2  (n − 2k)! (k!)2,D,,,Hard,2023,2,PYQ;GATE 2023,,,yes,garbled_math_symbols;topic_low_confidence
49,Computer Science,Engineering Mathematics,msq,"Let f : A → B be an onto (or surjective) function, where A and B are nonempty sets. Deﬁne an equivalence relation ∼ on the set A as a1 ∼ a2 if f (a1 ) = f (a2 ) , where a1 , a2 ∈ A. Let E = {[x] : x ∈ A} be the set of all the equivalence classes under ∼. Deﬁne a new mapping F : E → B as F ([x]) = f (x), for all the equivalence classes [x] in E. Which of the following statements is/are TRUE?",F is NOT well-deﬁned.,F is an onto (or surjective) function.,F is a one-to-one (or injective) function.,F is a bijective function.,"B,C,D",,,Hard,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
50,Computer Science,Computer Networks,msq,"Suppose you are asked to design a new reliable byte-stream transport protocol like TCP. This protocol, named myTCP, runs over a 100 Mbps network with Round Trip Time of 150 milliseconds and the maximum segment lifetime of 2 minutes. Which of the following is/are valid lengths of the Sequence Number ﬁeld in the myTCP header?",30 bits,32 bits,34 bits,36 bits,"B,C,D",,,Medium,2023,2,PYQ;GATE 2023,,,,type_corrected_from_mcq
51,Computer Science,Engineering Mathematics,msq,"Let X be a set and 2X denote the powerset of X. Deﬁne a binary operation Δ on 2X as follows: AΔB = (A − B) ∪ (B − A) . Let H = (2X , Δ). Which of the following statements about H is/are correct?",H is a group.,"Every element in H has an inverse, but H is NOT a group.","For every A ∈ 2X , the inverse of A is the complement of A.","For every A ∈ 2X , the inverse of A is A.","A,D",,,Hard,2023,2,PYQ;GATE 2023,,,,type_corrected_from_mcq
52,Computer Science,Computer Networks,msq,"Suppose in a web browser, you click on the www.gate-2023.in URL. The browser cache is empty. The IP address for this URL is not cached in your local host, so a DNS lookup is triggered (by the local DNS server deployed on your local host) over the 3-tier DNS hierarchy in an iterative mode. No resource records are cached anywhere across all DNS servers. Let RTT denote the round trip time between your local host and DNS servers in the DNS hierarchy. The round trip time between the local host and the web server hosting www.gate-2023.in is also equal to RTT. The HTML ﬁle associated with the URL is small enough to have negligible transmission time and negligible rendering time by your web browser, which references 10 equally small objects on the same web server. Which of the following statements is/are CORRECT about the minimum elapsed time between clicking on the URL and your browser fully rendering it?","7 RTTs, in case of non-persistent HTTP with 5 parallel TCP connections.","5 RTTs, in case of persistent HTTP with pipelining.","9 RTTs, in case of non-persistent HTTP with 5 parallel TCP connections.","6 RTTs, in case of persistent HTTP with pipelining.","C,D",,,Hard,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
53,Computer Science,Engineering Mathematics,msq,"Consider a random experiment where two fair coins are tossed. Let A be the event that denotes HEAD on both the throws, B be the event that denotes HEAD on the ﬁrst throw, and C be the event that denotes HEAD on the second throw. Which of the following statements is/are TRUE?",A and B are independent.,A and C are independent.,B and C are independent.,Prob(B|C) = Prob(B),"C,D",,,Hard,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence;type_corrected_from_mcq
54,Computer Science,Algorithms,msq,"Consider functions Function 1 and Function 2 expressed in pseudocode as follows: Function 1 while n > 1 do for i = 1 to n do x = x + 1; end for n = n/2; end while Function 2 for i = 1 to 100 ∗ n do x = x + 1; end for Let f1 (n) and f2 (n) denote the number of times the statement “x = x + 1” is executed in Function 1 and Function 2, respectively. Which of the following statements is/are TRUE?",f1 (n) ∈ Θ(f2 (n)),f1 (n) ∈ o(f2 (n)),f1 (n) ∈ ω(f2 (n)),f1 (n) ∈ O(n),"A,D",,,Hard,2023,2,PYQ;GATE 2023,,,yes,garbled_math_symbols;type_corrected_from_mcq
55,Computer Science,Engineering Mathematics,msq,"Let G be a simple, ﬁnite, undirected graph with vertex set {v1 , . . . , vn }. Let Δ(G) denote the maximum degree of G and let N = {1, 2, . . .} denote the set of all possible colors. Color the vertices of G using the following greedy strategy: for i = 1, . . . , n color(vi ) ← min{j ∈ N : no neighbour of vi is colored j} Which of the following statements is/are TRUE?",This procedure results in a proper vertex coloring of G.,The number of colors used is at most Δ(G) + 1.,The number of colors used is at most Δ(G).,The number of colors used is equal to the chromatic number of G.,"A,B",,,Hard,2023,2,PYQ;GATE 2023,,,,type_corrected_from_mcq
56,Computer Science,Engineering Mathematics,nat,"Let U = {1, 2, 3}. Let 2U denote the powerset of U . Consider an undirected graph G whose vertex set is 2U . For any A, B ∈ 2U , (A, B) is an edge in G if and only if (i) A = B, and (ii) either A  B or B  A. For any vertex A in G, the set of all possible orderings in which the vertices of G can be visited in a Breadth First Search (BFS) starting from A is denoted by B(A). If ∅ denotes the empty set, then the cardinality of B(∅) is",,,,,,5040.0,0.0,Hard,2023,2,PYQ;GATE 2023,,,yes,garbled_math_symbols
